TI=0.05 | U_mean=14.00 | Ct_used=0.32 | D=178.00 | rho=1.22 | Ct_path=inputs/turbie_inputs/CT.txt | param_path=inputs/turbie_inputs/turbie_parameters.txt | wind_file=wind_14_ms_TI_0.1.txt | ct_mode=mean
Sampling_rate_Hz=100.00
t[s]	U[m/s]	x_blade[m]	x_tower[m]	v_blade[m/s]	v_tower[m/s]
0.00 14.73 0.00 0.00 0.00 0.00
0.01 14.75 0.00 0.00 0.09 0.00
0.02 14.77 0.00 0.00 0.17 0.00
0.03 14.79 0.00 0.00 0.26 0.00
0.04 14.81 0.01 0.00 0.35 0.00
0.05 14.83 0.01 0.00 0.43 0.00
0.06 14.85 0.02 0.00 0.52 0.00
0.07 14.87 0.02 0.00 0.60 0.00
0.08 14.90 0.03 0.00 0.69 0.00
0.09 14.92 0.03 0.00 0.77 0.00
0.10 14.95 0.04 0.00 0.86 0.00
0.11 14.99 0.05 0.00 0.94 0.00
0.12 15.03 0.06 0.00 1.02 0.00
0.13 15.07 0.07 0.00 1.10 0.00
0.14 15.11 0.08 0.00 1.18 0.01
0.15 15.15 0.10 0.00 1.26 0.01
0.16 15.18 0.11 0.00 1.34 0.01
0.17 15.21 0.12 0.00 1.41 0.01
0.18 15.22 0.14 0.00 1.48 0.01
0.19 15.23 0.15 0.00 1.56 0.01
0.20 15.22 0.17 0.00 1.63 0.02
0.21 15.19 0.18 0.00 1.69 0.02
0.22 15.16 0.20 0.00 1.76 0.02
0.23 15.12 0.22 0.00 1.82 0.03
0.24 15.07 0.24 0.00 1.88 0.03
0.25 15.02 0.26 0.00 1.93 0.03
0.26 14.97 0.28 0.00 1.99 0.04
0.27 14.94 0.30 0.00 2.03 0.04
0.28 14.92 0.32 0.00 2.08 0.04
0.29 14.92 0.34 0.00 2.12 0.05
0.30 14.94 0.36 0.00 2.16 0.05
0.31 14.97 0.38 0.00 2.20 0.06
0.32 15.03 0.40 0.01 2.23 0.07
0.33 15.10 0.43 0.01 2.27 0.07
0.34 15.19 0.45 0.01 2.30 0.08
0.35 15.28 0.47 0.01 2.33 0.08
0.36 15.38 0.50 0.01 2.35 0.09
0.37 15.47 0.52 0.01 2.38 0.10
0.38 15.56 0.54 0.01 2.40 0.10
0.39 15.65 0.57 0.01 2.42 0.11
0.40 15.72 0.59 0.01 2.44 0.12
0.41 15.78 0.62 0.01 2.46 0.13
0.42 15.83 0.64 0.02 2.47 0.14
0.43 15.87 0.67 0.02 2.48 0.15
0.44 15.89 0.69 0.02 2.49 0.16
0.45 15.90 0.72 0.02 2.49 0.16
0.46 15.90 0.74 0.02 2.49 0.17
0.47 15.89 0.77 0.02 2.49 0.18
0.48 15.86 0.79 0.03 2.49 0.19
0.49 15.82 0.82 0.03 2.48 0.21
0.50 15.77 0.84 0.03 2.47 0.22
0.51 15.71 0.86 0.03 2.45 0.23
0.52 15.63 0.89 0.03 2.43 0.24
0.53 15.54 0.91 0.04 2.40 0.25
0.54 15.44 0.94 0.04 2.38 0.26
0.55 15.33 0.96 0.04 2.34 0.27
0.56 15.22 0.98 0.04 2.31 0.29
0.57 15.11 1.01 0.05 2.26 0.30
0.58 15.02 1.03 0.05 2.22 0.31
0.59 14.93 1.05 0.05 2.17 0.33
0.60 14.86 1.07 0.06 2.12 0.34
0.61 14.82 1.09 0.06 2.06 0.35
0.62 14.80 1.11 0.06 2.01 0.36
0.63 14.80 1.13 0.07 1.95 0.38
0.64 14.82 1.15 0.07 1.88 0.39
0.65 14.87 1.17 0.08 1.82 0.41
0.66 14.93 1.19 0.08 1.75 0.42
0.67 15.00 1.21 0.08 1.69 0.43
0.68 15.07 1.22 0.09 1.62 0.45
0.69 15.14 1.24 0.09 1.55 0.46
0.70 15.20 1.25 0.10 1.48 0.48
0.71 15.25 1.27 0.10 1.41 0.49
0.72 15.28 1.28 0.11 1.34 0.50
0.73 15.30 1.30 0.11 1.27 0.52
0.74 15.30 1.31 0.12 1.20 0.53
0.75 15.28 1.32 0.12 1.13 0.55
0.76 15.26 1.33 0.13 1.05 0.56
0.77 15.22 1.34 0.13 0.98 0.57
0.78 15.19 1.35 0.14 0.90 0.59
0.79 15.16 1.36 0.15 0.83 0.60
0.80 15.14 1.37 0.15 0.75 0.61
0.81 15.13 1.37 0.16 0.67 0.63
0.82 15.12 1.38 0.16 0.59 0.64
0.83 15.13 1.39 0.17 0.51 0.65
0.84 15.13 1.39 0.18 0.44 0.67
0.85 15.14 1.39 0.18 0.36 0.68
0.86 15.15 1.40 0.19 0.28 0.69
0.87 15.15 1.40 0.20 0.21 0.70
0.88 15.15 1.40 0.21 0.13 0.71
0.89 15.13 1.40 0.21 0.06 0.73
0.90 15.09 1.40 0.22 -0.02 0.74
0.91 15.05 1.40 0.23 -0.09 0.75
0.92 15.00 1.40 0.23 -0.16 0.76
0.93 14.94 1.40 0.24 -0.23 0.77
0.94 14.88 1.40 0.25 -0.30 0.78
0.95 14.82 1.39 0.26 -0.37 0.79
0.96 14.77 1.39 0.27 -0.44 0.80
0.97 14.74 1.38 0.27 -0.51 0.80
0.98 14.71 1.38 0.28 -0.58 0.81
0.99 14.70 1.37 0.29 -0.64 0.82
1.00 14.71 1.37 0.30 -0.71 0.83
1.01 14.72 1.36 0.31 -0.77 0.83
1.02 14.74 1.35 0.32 -0.82 0.84
1.03 14.77 1.34 0.32 -0.88 0.85
1.04 14.80 1.33 0.33 -0.93 0.85
1.05 14.82 1.32 0.34 -0.98 0.86
1.06 14.84 1.31 0.35 -1.03 0.86
1.07 14.85 1.30 0.36 -1.07 0.87
1.08 14.86 1.29 0.37 -1.12 0.87
1.09 14.86 1.28 0.38 -1.15 0.87
1.10 14.86 1.27 0.38 -1.19 0.87
1.11 14.86 1.26 0.39 -1.22 0.88
1.12 14.87 1.24 0.40 -1.25 0.88
1.13 14.88 1.23 0.41 -1.28 0.88
1.14 14.91 1.22 0.42 -1.30 0.88
1.15 14.95 1.21 0.43 -1.32 0.88
1.16 15.00 1.19 0.44 -1.34 0.88
1.17 15.06 1.18 0.45 -1.35 0.87
