TI=0.05 | U_mean=4.00 | Ct_used=0.92 | D=178.00 | rho=1.22 | Ct_path=inputs/turbie_inputs/CT.txt | param_path=inputs/turbie_inputs/turbie_parameters.txt | wind_file=wind_4_ms_TI_0.1.txt | ct_mode=mean
Sampling_rate_Hz=100.00
t[s]	U[m/s]	x_blade[m]	x_tower[m]	v_blade[m/s]	v_tower[m/s]
0.00 4.08 0.00 0.00 0.00 0.00
0.01 4.08 0.00 0.00 0.02 0.00
0.02 4.08 0.00 0.00 0.04 0.00
0.03 4.09 0.00 0.00 0.06 0.00
0.04 4.09 0.00 0.00 0.08 0.00
0.05 4.10 0.00 0.00 0.09 0.00
0.06 4.10 0.00 0.00 0.11 0.00
0.07 4.10 0.00 0.00 0.13 0.00
0.08 4.11 0.01 0.00 0.15 0.00
0.09 4.11 0.01 0.00 0.17 0.00
0.10 4.12 0.01 0.00 0.19 0.00
0.11 4.12 0.01 0.00 0.20 0.00
0.12 4.13 0.01 0.00 0.22 0.00
0.13 4.14 0.02 0.00 0.24 0.00
0.14 4.15 0.02 0.00 0.26 0.00
0.15 4.16 0.02 0.00 0.27 0.00
0.16 4.16 0.02 0.00 0.29 0.00
0.17 4.17 0.03 0.00 0.31 0.00
0.18 4.17 0.03 0.00 0.32 0.00
0.19 4.17 0.03 0.00 0.34 0.00
0.20 4.17 0.04 0.00 0.35 0.00
0.21 4.16 0.04 0.00 0.37 0.00
0.22 4.16 0.04 0.00 0.38 0.00
0.23 4.15 0.05 0.00 0.39 0.01
0.24 4.14 0.05 0.00 0.41 0.01
0.25 4.13 0.06 0.00 0.42 0.01
0.26 4.12 0.06 0.00 0.43 0.01
0.27 4.12 0.06 0.00 0.44 0.01
0.28 4.11 0.07 0.00 0.45 0.01
0.29 4.11 0.07 0.00 0.46 0.01
0.30 4.12 0.08 0.00 0.47 0.01
0.31 4.12 0.08 0.00 0.48 0.01
0.32 4.13 0.09 0.00 0.48 0.01
0.33 4.15 0.09 0.00 0.49 0.02
0.34 4.16 0.10 0.00 0.50 0.02
0.35 4.18 0.10 0.00 0.50 0.02
0.36 4.20 0.11 0.00 0.51 0.02
0.37 4.22 0.11 0.00 0.51 0.02
0.38 4.23 0.12 0.00 0.52 0.02
0.39 4.25 0.12 0.00 0.52 0.02
0.40 4.26 0.13 0.00 0.52 0.03
0.41 4.28 0.13 0.00 0.53 0.03
0.42 4.28 0.14 0.00 0.53 0.03
0.43 4.29 0.14 0.00 0.53 0.03
0.44 4.29 0.15 0.00 0.53 0.03
0.45 4.30 0.15 0.00 0.53 0.04
0.46 4.30 0.16 0.00 0.53 0.04
0.47 4.29 0.17 0.01 0.53 0.04
0.48 4.29 0.17 0.01 0.53 0.04
0.49 4.28 0.18 0.01 0.53 0.04
0.50 4.27 0.18 0.01 0.52 0.05
0.51 4.26 0.19 0.01 0.52 0.05
0.52 4.24 0.19 0.01 0.51 0.05
0.53 4.23 0.20 0.01 0.51 0.05
0.54 4.21 0.20 0.01 0.50 0.06
0.55 4.19 0.21 0.01 0.50 0.06
0.56 4.17 0.21 0.01 0.49 0.06
0.57 4.15 0.22 0.01 0.48 0.06
0.58 4.13 0.22 0.01 0.47 0.07
0.59 4.11 0.23 0.01 0.46 0.07
0.60 4.10 0.23 0.01 0.45 0.07
0.61 4.09 0.23 0.01 0.44 0.08
0.62 4.09 0.24 0.01 0.42 0.08
0.63 4.09 0.24 0.01 0.41 0.08
0.64 4.09 0.25 0.02 0.40 0.08
0.65 4.10 0.25 0.02 0.38 0.09
0.66 4.11 0.25 0.02 0.37 0.09
0.67 4.12 0.26 0.02 0.36 0.09
0.68 4.14 0.26 0.02 0.34 0.10
0.69 4.15 0.27 0.02 0.33 0.10
0.70 4.16 0.27 0.02 0.31 0.10
0.71 4.17 0.27 0.02 0.30 0.11
0.72 4.18 0.27 0.02 0.28 0.11
0.73 4.18 0.28 0.02 0.27 0.11
0.74 4.18 0.28 0.03 0.25 0.11
0.75 4.18 0.28 0.03 0.24 0.12
0.76 4.17 0.28 0.03 0.22 0.12
0.77 4.17 0.29 0.03 0.20 0.12
