TI	U_mean[m/s]	mean_blade[m]	std_blade[m]	mean_tower[m]	std_tower[m]
5.0000e-02 4.0000e+00 2.0091e-01 6.8407e-02 6.8873e-02 4.1173e-02
5.0000e-02 5.0000e+00 3.1265e-01 1.1182e-01 1.0718e-01 6.7776e-02
5.0000e-02 6.0000e+00 4.4296e-01 1.6510e-01 1.5184e-01 1.0065e-01
5.0000e-02 7.0000e+00 5.7233e-01 2.2118e-01 1.9618e-01 1.3559e-01
5.0000e-02 8.0000e+00 7.0928e-01 2.8272e-01 2.4312e-01 1.7417e-01
5.0000e-02 9.0000e+00 8.9777e-01 3.6808e-01 3.0772e-01 2.2764e-01
5.0000e-02 1.0000e+01 1.1084e+00 4.6575e-01 3.7992e-01 2.8901e-01
5.0000e-02 1.1000e+01 1.3413e+00 5.7664e-01 4.5972e-01 3.5897e-01
5.0000e-02 1.2000e+01 1.1315e+00 4.9674e-01 3.8783e-01 3.0997e-01
5.0000e-02 1.3000e+01 9.6437e-01 4.3173e-01 3.3053e-01 2.7023e-01
5.0000e-02 1.4000e+01 8.6222e-01 3.9313e-01 2.9551e-01 2.4659e-01
5.0000e-02 1.5000e+01 7.9369e-01 3.6811e-01 2.7202e-01 2.3134e-01
5.0000e-02 1.6000e+01 7.3570e-01 3.4661e-01 2.5214e-01 2.1817e-01
5.0000e-02 1.7000e+01 6.8885e-01 3.2939e-01 2.3608e-01 2.0775e-01
5.0000e-02 1.8000e+01 6.5313e-01 3.1685e-01 2.2383e-01 2.0009e-01
5.0000e-02 1.9000e+01 6.1955e-01 3.0461e-01 2.1232e-01 1.9264e-01
5.0000e-02 2.0000e+01 5.9387e-01 2.9571e-01 2.0352e-01 1.8732e-01
5.0000e-02 2.1000e+01 5.7065e-01 2.8759e-01 1.9556e-01 1.8242e-01
5.0000e-02 2.2000e+01 5.5377e-01 2.8228e-01 1.8977e-01 1.7921e-01
5.0000e-02 2.3000e+01 5.3321e-01 2.7484e-01 1.8273e-01 1.7459e-01
5.0000e-02 2.4000e+01 5.1782e-01 2.6984e-01 1.7745e-01 1.7161e-01
5.0000e-02 2.5000e+01 5.0228e-01 2.6436e-01 1.7212e-01 1.6824e-01
